,precision,recall,f1-score,support
Benign (Class 0),0.9461829778752242,0.9041904761904762,0.9247102366806272,5250.0
Malignant (Class 1),0.9062266964951529,0.947378678620152,0.9263458789899952,5131.0
accuracy,0.9255370388209229,0.9255370388209229,0.9255370388209229,0.9255370388209229
macro avg,0.9262048371851885,0.9257845774053142,0.9255280578353112,10381.0
weighted avg,0.9264338516098213,0.9255370388209229,0.925518682946822,10381.0
