epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7818975448608398,0.00039999998989515007,0.48515912890434265,0.8465168476104736,0.35809963941574097
1,0.8501285910606384,0.00039999998989515007,0.36979687213897705,0.8714606761932373,0.3138284981250763
2,0.8683351278305054,0.00039999998989515007,0.33087557554244995,0.8579775094985962,0.34768757224082947
3,0.8831025958061218,0.00039999998989515007,0.3021710515022278,0.8973033428192139,0.27050861716270447
4,0.8874664306640625,0.00039999998989515007,0.2931397557258606,0.906067430973053,0.2437596619129181
5,0.8939398527145386,0.00039999998989515007,0.2755035161972046,0.906067430973053,0.24890649318695068
6,0.8955870866775513,0.00039999998989515007,0.27263230085372925,0.898876428604126,0.2508426904678345
7,0.9089096188545227,3.9999998989515007e-05,0.2449798882007599,0.91325843334198,0.22620327770709991
8,0.9115105867385864,3.9999998989515007e-05,0.2377939671278,0.9137078523635864,0.2267906665802002
9,0.9126665592193604,3.9999998989515007e-05,0.23459312319755554,0.9143820405006409,0.222791850566864
10,0.9144871830940247,3.9999998989515007e-05,0.22995159029960632,0.9175280928611755,0.21868233382701874
11,0.9150940775871277,3.9999998989515007e-05,0.23115304112434387,0.9188764095306396,0.2150757908821106
12,0.9166257381439209,3.9999998989515007e-05,0.22679398953914642,0.9175280928611755,0.21868883073329926
13,0.9159610271453857,3.9999998989515007e-05,0.227224662899971,0.9193258285522461,0.21332909166812897
14,0.9164812564849854,3.9999998989515007e-05,0.2254100888967514,0.9224718809127808,0.21115270256996155
15,0.9172037243843079,3.9999998989515007e-05,0.2236713171005249,0.9161797761917114,0.21491263806819916
16,0.9173771142959595,3.9999998989515007e-05,0.2245568335056305,0.9208988547325134,0.21187499165534973
17,0.9179840087890625,3.999999989900971e-06,0.21932664513587952,0.9206741452217102,0.21065349876880646
18,0.920469343662262,3.999999989900971e-06,0.21736884117126465,0.9186517000198364,0.20906434953212738
19,0.9194000363349915,3.999999989900971e-06,0.21665826439857483,0.920449435710907,0.20838457345962524
20,0.9203826189041138,3.999999989900971e-06,0.21843653917312622,0.920449435710907,0.20813758671283722
21,0.9189376831054688,3.999999989900971e-06,0.21882006525993347,0.920449435710907,0.209086075425148
22,0.92015141248703,3.999999989900971e-06,0.21656012535095215,0.920449435710907,0.2080649733543396
23,0.9196890592575073,4.0000000467443897e-07,0.21765142679214478,0.9208988547325134,0.20769868791103363
24,0.9198335409164429,4.0000000467443897e-07,0.21788163483142853,0.9215730428695679,0.20767885446548462
25,0.9212784767150879,4.0000000467443897e-07,0.21559220552444458,0.9208988547325134,0.20786388218402863
26,0.9192555546760559,3.999999975690116e-08,0.21752849221229553,0.9211236238479614,0.20788030326366425
27,0.9216541647911072,3.999999975690116e-08,0.21424275636672974,0.9211236238479614,0.20788933336734772
28,0.9222033023834229,3.999999886872274e-09,0.2146950215101242,0.9211236238479614,0.2078903466463089
29,0.9205560088157654,3.999999886872274e-09,0.21533429622650146,0.9211236238479614,0.2078920602798462
